Occupation,Gender,Average weekly ordinary time cash earnings,Average weekly total cash earnings,Average weekly ordinary time hours paid for,Average weekly total hours paid for,Average hourly ordinary time cash earnings,Average hourly total cash earnings,Year
599 Miscellaneous clerical and administrative workers,Persons,1593.3,1648.2,37.6,38.4,42.4,42.8,2023
611 Insurance agents and sales representatives,Females,1565.9,1571.2,38,38.1,41.2,41.3,2023
611 Insurance agents and sales representatives,Males,1880.6,1881.1,38,38,49.5,49.5,2023
611 Insurance agents and sales representatives,Persons,1766.2,1768.4,38,38,46.5,46.5,2023
612 Real estate sales agents,Females,1398.1,1400.4,37.9,37.9,36.9,36.9,2023
612 Real estate sales agents,Males,1541.5,1542.7,38.5,38.5,40,40,2023
612 Real estate sales agents,Persons,1456.5,1458.3,38.1,38.2,38.2,38.2,2023
621 Sales assistants and salespersons,Females,1176.3,1194.6,37.9,38.4,31,31.1,2023
621 Sales assistants and salespersons,Males,1275.2,1320.6,38.4,39.4,33.1,33.4,2023
621 Sales assistants and salespersons,Persons,1224.4,1255.8,38.2,38.9,32,32.2,2023
631 Checkout operators and office cashiers,Females,1074,1102.5,37.7,38.5,28.5,28.6,2023
631 Checkout operators and office cashiers,Males,1149.8,1279.9,37.9,41.7,30.4,30.8,2023
631 Checkout operators and office cashiers,Persons,1088.3,1136,37.7,39.1,28.9,29,2023
639 Miscellaneous sales support workers,Females,1205.7,1240.8,37.2,37.7,32.5,32.7,2023
639 Miscellaneous sales support workers,Males,1469.4,1518.1,38.5,39.3,38.1,38.4,2023
639 Miscellaneous sales support workers,Persons,1312.3,1352.9,37.7,38.4,34.8,35,2023
711 Machine operators,Females,1161.8,1241.1,37.8,39.6,30.8,31.3,2023
711 Machine operators,Males,1477.5,1806.1,38.4,43.4,38.2,40.2,2023
711 Machine operators,Persons,1428,1717.5,38.3,42.8,37,38.8,2023
712 Stationary plant operators,Females,2333.6,2409,42.6,43.8,54.5,54.8,2023
712 Stationary plant operators,Males,2192.4,2442.7,40.9,44.5,53,54.1,2023
712 Stationary plant operators,Persons,2201.8,2440.5,41,44.4,53.1,54.2,2023
721 Mobile plant operators,Females,1449.6,1760.1,35,39.7,40.7,42.9,2023
721 Mobile plant operators,Males,1609.4,1968.5,39.5,45.3,40.5,42.6,2023
721 Mobile plant operators,Persons,1598.8,1954.7,39.2,44.9,40.6,42.7,2023
"731 Automobile, bus and rail drivers",Females,1511.8,1827.1,38.8,44.6,38.6,41,2023
"731 Automobile, bus and rail drivers",Males,1636.3,1932.6,38.7,43.7,42.1,44.1,2023
"731 Automobile, bus and rail drivers",Persons,1618.3,1917.4,38.7,43.8,41.6,43.6,2023
732 Delivery drivers,Females,1164.5,1470.8,38.1,44.1,30.5,32.5,2023
732 Delivery drivers,Males,1176.4,1330.1,39,42.3,30.1,31.2,2023
732 Delivery drivers,Persons,1175.4,1341.8,39,42.4,30.1,31.3,2023
733 Truck drivers,Females,1614.5,2088.8,38.8,46,41.8,45.2,2023
733 Truck drivers,Males,1529.4,1935.8,39.3,47.2,39,40.8,2023
733 Truck drivers,Persons,1532.1,1940.6,39.3,47.1,39.1,41,2023
741 Storepersons,Females,1167.6,1265,38,40,30.7,31.3,2023
741 Storepersons,Males,1268.1,1367.9,37.9,39.8,33.4,34.1,2023
741 Storepersons,Persons,1248.1,1347.4,38,39.8,32.9,33.6,2023
811 Cleaners and laundry workers,Females,1120,1144.9,38.4,39,29.1,29.3,2023
811 Cleaners and laundry workers,Males,1163.4,1309.3,38.9,42.2,30,30.8,2023
811 Cleaners and laundry workers,Persons,1146.8,1246.3,38.7,41,29.7,30.2,2023
821 Construction and mining labourers,Females,1879.5,2470.4,39,49,48,50.4,2023
821 Construction and mining labourers,Males,1718.9,2087.6,39.3,44.5,44.3,46.5,2023
821 Construction and mining labourers,Persons,1721.9,2094.8,39.3,44.6,44.4,46.6,2023
831 Food process workers,Females,1173.1,1319.7,38.3,41.4,30.8,31.9,2023
831 Food process workers,Males,1266.8,1432.3,38.4,41.9,33,34,2023
831 Food process workers,Persons,1246.7,1408.2,38.4,41.8,32.5,33.5,2023
