ANZSCO Level,NFD Indicator 5,Code,ANZSCO Title,COVID Adjusted 3,Skill Level 4,Trend Data for Aug 2025 1,Qtr Change to Aug 2025 1,Qtr Change to Aug 2025 1,1 Year  Change to Aug 2025 1,1 Year  Change to Aug 2025 1,5 Year  Change to Aug 2025 1,5 Year  Change to Aug 2025 1,10 Year  Change to Aug 2025 1,10 Year  Change to Aug 2025 1,Share of National Emp 1,Share of Level 1 Group 1,Female Share 2024 4 Quarter Avg 2,Part Time Share 2024 4 Quarter Avg 2,Female Part Time Share 2024 4 Quarter Avg 2,Male Part Time Share 2024 4 Quarter Avg 2,Median Age 2024 2,Median Female Age 2024 2,Median Male Age 2024 2
4,N,1341,Child Care Centre Managers,-,1,18.7324290871693,0.043998842626344,0.235433592070644,0.185868096854808,1.00217014330513,2.07587576579357,12.4628170410834,5.37732676685676,40.264212417737,0.127618917497271,0.982704391914363,94,24,24,-,41,40,43
4,N,1342,Health and Welfare Services Managers,-,1,50.5163240697343,1.42721669150731,2.90739996657658,5.556060192285,12.3577125957923,21.729678385163,75.4852740512568,29.2425903216668,137.458664604765,0.344153903571244,2.65008949430374,71,18,21,11,45,45,46
4,N,1343,School Principals,-,1,28.8257179986257,0.138478271041354,0.482717306915379,0.591251134065345,2.09407578652558,3.68042479034412,14.6366350149855,6.45890588438483,28.8771857669983,0.196381735115492,1.51219895431164,65,5,5,5,47,49,46
4,N,1344,Other Education Managers,-,1,16.47409398015,0.243434910310388,1.49984612000597,0.952960592742063,6.13976163309815,2.8241676779015,20.6899848055318,4.61511200365964,38.9165951412084,0.112233497893505,0.864231992112123,73,9,11,5,48,48,52
3,N,135,ICT Managers,-,-,95.3467777005903,1.25636318877734,1.33527224350745,4.95135147841211,5.47743584530752,28.6662647099088,42.9904681655867,39.1195545453198,69.5740467874285,0.648385966553741,5.01630515634117,27,6,9,5,44,44,44
4,N,1351,ICT Managers,-,1,95.3245717612276,1.25464425231792,1.33373574907782,4.94354804950125,5.46967476853203,28.6375812076655,42.943280195954,39.0932502348279,69.5221971912473,0.649420243495879,5.00073294772417,27,6,9,5,44,44,44
3,N,139,Miscellaneous Specialist Managers,-,-,79.241439509412,0.495534307717122,0.629282635646757,1.95951996519773,2.5355477409909,12.3964132985845,18.5450047689211,26.9467626387884,51.5286913531454,0.538864957856901,4.16898453406778,43,8,13,5,44,43,46
4,Y,1390,Miscellaneous Specialist Managers nfd,-,1,0.341857745144335,0.0283498753600566,9.0427954422847,0.110762889715217,47.9296215874397,0.225616646645482,194.093697976976,0.241857745144335,241.857745144335,<0.1,<0.1,-,-,-,-,-,-,-
4,N,1391,Commissioned Officers (Management),-,1,4.34468761943753,-0.0093696440309019,-0.215193403851517,-0.0332227982044078,-0.75887341299922,0.0202311599688159,0.467831279108344,1.68818493026098,63.5491519409784,<0.1,0.227922582023365,29,9,-,11,42,47,39
4,N,1392,Senior Non-commissioned Defence Force Members,-,1,0.260817727103763,-0.00257538584576372,-0.977772659628058,-0.0103648224958433,-3.82208313593431,-0.0436215622831612,-14.3284930046334,0.160817727103763,160.817727103763,<0.1,<0.1,-,-,-,-,46,23,46
